,themes,frequences,% par rapport au nombre de séances,% par rapport au nombre total de thème
1,annotation,71,"32,27272727","10,50295858"
2,visualisation,61,"27,72727273","9,023668639"
3,linked open data,42,"19,09090909","6,213017751"
4,encoding,38,"17,27272727","5,621301775"
5,treebank,33,15,"4,881656805"
6,data mining,27,"12,27272727","3,99408284"
7,digitisation,26,"11,81818182","3,846153846"
8,text analysis,26,"11,81818182","3,846153846"
9,translation,26,"11,81818182","3,846153846"
10,text mining,25,"11,36363636","3,698224852"
11,maps and mapping,24,"10,90909091","3,550295858"
12,epigraphy,21,"9,545454545","3,106508876"
13,digital methods,19,"8,636363636","2,810650888"
14,geography,19,"8,636363636","2,810650888"
15,database,18,"8,181818182","2,662721893"
16,named entities,18,"8,181818182","2,662721893"
17,objects and artefacts,17,"7,727272727","2,514792899"
18,standards,17,"7,727272727","2,514792899"
19,cultural studies,16,"7,272727273","2,366863905"
20,digital archives and library,13,"5,909090909","1,923076923"
21,teaching and pedagogy,13,"5,909090909","1,923076923"
22,copyright license and open access,12,"5,454545455","1,775147929"
23,text encoding,12,"5,454545455","1,775147929"
24,XML-TEI,11,5,"1,627218935"
25,manuscript,10,"4,545454545","1,479289941"
26,archeology,9,"4,090909091","1,331360947"
27,prosopography,9,"4,090909091","1,331360947"
28,NLP,7,"3,181818182","1,035502959"
29,crowdsourcing,6,"2,727272727","0,887573964"
30,semantic Web,5,"2,272727273","0,73964497"
31,digital edition,4,"1,818181818","0,591715976"
32,"GLAM: galleries, libraries, archives, museums",4,"1,818181818","0,591715976"
33,paleography,4,"1,818181818","0,591715976"
34,data analysis,3,"1,363636364","0,443786982"
35,photography,3,"1,363636364","0,443786982"
36,digital humanities history,1,"0,454545455","0,147928994"
37,research process,1,"0,454545455","0,147928994"
38,scholarly editing,1,"0,454545455","0,147928994"
39,semantics,1,"0,454545455","0,147928994"
40,sentiment analysis,1,"0,454545455","0,147928994"
41,topic modeling,1,"0,454545455","0,147928994"
42,virtual and augmented reality,1,"0,454545455","0,147928994"
,TOTAL : ,676,,
,moyenne : ,"16,0952381","7,316017316","2,380952381"
,mediane : ,"12,5","5,681818182","1,849112426"
