host;guest 
Gabriel Bodard;Valeria Vitale
Gabriel Bodard;Tom Elliott
Gabriel Bodard;Leif Isaksen,Alegria Perez
Gabriel Bodard;Charlotte Tupman,Arianna Ciula
Gabriel Bodard;Sebastian Heath,Tom Elliott
Gabriel Bodard;Jane Winters,Sarah Milligan,Jonathan Blaney
Gabriel Bodard;Greg Woolf,Silke Vanbeselaere
Gabriel Bodard;John Pearce
Gabriel Bodard;Monica Berti
Monica Berti;Valeria Vitale,Chiara Palladino
Monica Berti;Simona Stoyanova,Gabriel Bodard
Monica Berti;Marja Vierros,Polina Yordanova
Gabriel Bodard;Dag Haug
Monica Berti;Giuseppe Celano
Monica Berti;Usama Gad
Monica Berti;Gabriel Bodard,Rada Varga
Monica Berti;Barbara McGillivray,Dag Haug
Gabriel Bodard;Francesco Mambrini,Matteo Romanello
Monica Berti;Anise D'Orange Ferreira,Eleni Bozia
Monica Berti;Levan Gordeziani
Monica Berti;Maryam Foradi,Arash Keramati
Monica Berti;Francesco Mambrini,Matteo Romanello
Monica Berti;Federico Aurora
Monica Berti;Lucia Vannini,Gabriel Bodard,Nadine Quenouille
Monica Berti;Lucia Vannini,Nicola Reggiani,Marja Vierros
Monica Berti;Farnoosh Shamsian,Maryam Foradi
Monica Berti;Franziska Naether
Monica Berti;Neven Jovanović
Monica Berti;Stylianos Chronopoulos
Monica Berti;Grigor Boykov,Maria Baramova,Dimitar Illiev
Monica Berti;Marcel Mernitz,Valeria Vitale,Chiara Palladino
Monica Berti;Thomas Köntges
Gabriel Bodard;Monica Berti,Rada Varga,Simona Stoyanova,Tom Elliott,Gabriel Bodard
unknown_1;John Pearce
Gabriel Bodard;Valeria Vitale,Paula Granados García
unknown_1;Valeria Vitale,Paula Granados García
Gabriel Bodard;Tom Elliott,Chiara Palladino,Masoumeh Seydi
Gabriel Bodard;Rada Varga,Tom Elliott,Gabriel Bodard
Gabriel Bodard;Simona Stoyanova,Matteo Romanello
Gabriel Bodard;Gabriel Bodard,Simona Stoyanova,Charlotte Roueché
