"A Street Near You",1
"Ain Shams University, Cairo",4
"Alan Turing Institute",5
"Alpheios",1
"Austrian Institute of Technology",1
"Babeș-Bolyai University, Cluj-Napoca",9
"Binghamton University",1
"Birkbeck University",1
"Boğaziçi University",1
"Bournemouth University",1
"British Library",8
"British Museum",4
"Brown University",3
"Cambridge",1
"Center for Hellenic Studies, Harvard University",3
"Creative Commons",2
"CY Tech, CY Cergy Paris University",1
"Cyprus Institute",1
"Deutsches Archäologisches Institut, Berlin",8
"Duke University",2
"Durham",1
"École polytechnique fédérale de Lausanne",6
"Eldarion",4
"Europeana Foundation",2
"Fondazione Museo delle Antichità Egizie di Torino",1
"Frankfurt Bid Data Lab",1
"Franklin & Marshall College",1
"Furman University",6
"Glasgow University",1
"Haifa University",1
"Hebrew University of Jerusalem",1
"Heidelberg Academy of Sciences and Humanities",1
"Ilia State University, Georgia",1
"Indiana University",1
"Institute for the Study of the Ancient World, New York University",10
"Institute of Classical Studies, London",43
"Institute of Historical Research",2
"Istituto di Linguistica Computazionale «A. Zampolli», CNR, Pisa",2
"Katholieke Universiteit Leuven",7
"King's College London",19
"Kraków University",1
"Lancaster University",1
"Mississippi State",1
"Museo Egizio Torino",1
"New York University",1
"Open University",6
"Palestine Open Maps",1
"Paris Nanterre University",4
"Paris Sorbonne University",2
"Recollection Heritage",3
"Rhodes College",1
"Roehampton University",1
"Royal Holloway University, London",1
"School of Advanced Study",1
"Science Museum Group",1
"SketchFab",4
"Smithsonian Institute",1
"Stellenbosch University",1
"Tbilisi State University, Georgia",6
"The Watercolour World",1
"Toronto",1
"Tufts University",7
"UCSC, Milan",2
"Universidade Estadual Paulista",8
"Universitat Jaume I",1
"University College London",1
"University Lyon II",3
"University of Amsterdam",2
"University of Antwerp",1
"University of Bari",6
"University of Basel",1
"University of Bologna",5
"University of Bonn",1
"University of Bordeaux",2
"University of California, Berkeley",1
"University of Cambridge",3
"University of Chicago",1
"University of Exeter",13
"University of Florida",13
"University of Freiburg",3
"University of Ghent",2
"University of Göteborg",1
"University of Hamburg",1
"University of Heidelberg",3
"University of Helsinki",13
"University of Iowa",1
"University of Köln",2
"University of Lancaster",2
"University of Lausanne",2
"University of Leiden",3
"University of Leipzig",59
"University of London",47
"University of Massachusetts, Amherst",3
"University of Milan",1
"University of Nebraska-Lincoln",3
"University of Nottingham",1
"University of Oklahoma",2
"University of Oslo",6
"University of Oxford",8
"University of Parma",2
"University of Pittsburgh",2
"University of Portsmouth",1
"University of Reading",2
"University of Sofia",12
"University of South Florida",1
"University of Surrey",1
"University of Tehran",7
"University of the Pacific",1
"University of Trier",1
"University of Virginia",1
"University of Zagreb",12
"Wikimedia Foundation",3
"Wikimedia UK",1
"Yale University",1
